Date,Tractor_Model,Demand_Units,Supplier,Supplier_Delay_Days,Component_Failure_Rate,Inventory_Levels,Warehouse_Location,Inflation_Rate,Market_Trend_Index
2020-01-15,TX-200,140,Supplier D,17,0.037,1876,IL,5.43,0.08
2020-03-05,TX-500,441,Supplier B,27,0.009,871,CA,4.69,0.04
2021-06-04,TX-500,233,Supplier C,23,0.036,4756,TX,1.96,0.12
2023-09-29,TX-200,66,Supplier D,11,0.06,3677,CA,1.51,0.78
2023-02-26,TX-100,61,Supplier B,19,0.09,1638,NY,2.36,0.92
2021-10-09,TX-400,215,Supplier A,8,0.083,2967,IL,2.35,0.82
2022-12-22,TX-500,195,Supplier C,1,0.003,3649,TX,2.32,0.72
2023-03-08,TX-400,331,Supplier A,13,0.014,903,IL,3.79,0.06
2021-08-15,TX-200,86,Supplier C,3,0.085,4876,IL,3.84,0.21
2021-01-26,TX-400,119,Supplier A,28,0.094,3369,CA,4.75,0.94
2021-02-22,TX-200,218,Supplier B,28,0.006,278,CA,2.41,0.62
2020-10-15,TX-100,384,Supplier A,14,0.07,714,NY,1.92,0.47
2021-01-13,TX-200,219,Supplier A,16,0.037,1854,TX,4.5,0.65
2020-08-18,TX-200,302,Supplier C,18,0.036,146,IL,3.68,0.18
2022-10-14,TX-500,395,Supplier B,5,0.064,3783,NY,4.5,0.89
2020-02-10,TX-400,346,Supplier C,8,0.081,2634,IL,3.21,0.66
2022-11-17,TX-500,480,Supplier B,26,0.027,315,NY,4.88,0.47
2020-05-14,TX-300,191,Supplier E,16,0.071,3039,IL,4.57,0.46
2020-07-19,TX-200,434,Supplier D,14,0.064,2999,CA,4.43,0.82
2022-02-18,TX-300,322,Supplier D,4,0.052,2976,FL,1.62,0.31
2022-07-18,TX-500,274,Supplier C,27,0.06,1336,NY,5.36,0.14
2022-11-22,TX-400,232,Supplier B,17,0.002,1107,NY,3.19,0.19
2022-12-07,TX-500,270,Supplier A,22,0.0,4929,FL,2.11,0.08
2021-05-17,TX-400,102,Supplier D,3,0.055,2238,CA,4.9,0.51
2021-02-10,TX-400,167,Supplier C,20,0.052,4510,NY,3.69,0.68
2022-03-15,TX-100,414,Supplier C,23,0.007,2259,CA,1.64,0.93
2020-04-08,TX-200,208,Supplier C,1,0.049,3284,IL,5.02,0.75
2021-11-14,TX-500,495,Supplier B,18,0.076,473,IL,3.46,0.58
2021-12-26,TX-400,185,Supplier C,26,0.054,1386,FL,4.9,0.86
2022-08-18,TX-500,463,Supplier E,4,0.052,467,TX,4.9,0.89
2021-09-04,TX-500,126,Supplier A,25,0.072,4573,CA,1.95,0.71
2021-10-04,TX-400,385,Supplier C,3,0.017,4025,TX,4.26,0.06
2022-10-25,TX-300,499,Supplier B,4,0.046,4869,TX,3.12,0.29
2023-05-26,TX-200,94,Supplier A,18,0.015,3216,CA,3.96,0.34
2021-05-17,TX-200,67,Supplier A,12,0.052,1394,TX,1.9,1.0
2022-02-05,TX-100,404,Supplier D,15,0.059,4076,NY,4.15,0.46
2021-02-01,TX-100,478,Supplier C,11,0.012,273,IL,5.0,0.76
2022-05-20,TX-100,452,Supplier C,8,0.008,4231,FL,5.94,0.81
2022-03-05,TX-200,254,Supplier B,23,0.017,4497,CA,2.94,0.65
2021-01-27,TX-300,373,Supplier E,15,0.059,2180,FL,2.2,0.02
2020-07-25,TX-200,132,Supplier E,13,0.019,3934,IL,3.15,0.02
2022-11-04,TX-200,99,Supplier D,21,0.028,2529,FL,1.59,0.82
2022-06-10,TX-200,330,Supplier E,29,0.07,2873,CA,3.34,0.74
2022-05-13,TX-200,215,Supplier B,0,0.025,792,FL,5.62,0.54
2022-01-12,TX-300,292,Supplier D,19,0.04,4790,TX,2.37,0.25
2023-06-18,TX-100,426,Supplier C,22,0.093,3129,TX,3.65,0.09
2021-07-17,TX-500,213,Supplier E,25,0.082,973,IL,4.08,0.16
2022-10-17,TX-100,373,Supplier B,20,0.026,4514,TX,2.31,0.58
2020-04-05,TX-100,105,Supplier B,3,0.06,3196,FL,2.99,0.55
2021-04-29,TX-500,88,Supplier C,8,0.067,857,NY,5.6,0.94
2023-12-01,TX-200,368,Supplier B,23,0.09,3724,FL,2.83,0.96
2020-08-18,TX-300,177,Supplier D,18,0.055,2206,NY,4.36,0.58
2022-01-18,TX-300,440,Supplier D,13,0.056,4372,FL,2.12,0.84
2023-04-09,TX-100,171,Supplier A,21,0.089,1665,NY,4.51,0.81
2021-06-24,TX-500,296,Supplier C,11,0.005,3216,NY,2.76,0.75
2022-11-25,TX-400,235,Supplier B,29,0.063,3623,CA,2.54,0.44
2021-06-08,TX-200,257,Supplier E,29,0.042,408,CA,2.06,0.39
2023-03-29,TX-100,364,Supplier D,27,0.091,253,FL,1.71,0.26
2023-06-20,TX-300,353,Supplier C,3,0.096,1066,TX,5.86,0.94
2023-01-14,TX-500,438,Supplier C,6,0.017,1263,CA,3.36,0.83
2021-07-31,TX-500,288,Supplier D,16,0.028,2916,NY,5.0,0.18
2021-11-12,TX-100,264,Supplier A,0,0.027,484,FL,5.64,0.25
2021-07-10,TX-400,341,Supplier C,13,0.01,3819,TX,2.42,0.58
2022-10-09,TX-300,273,Supplier B,14,0.048,2895,FL,5.41,0.41
2021-10-07,TX-100,137,Supplier E,11,0.051,4819,NY,4.69,0.21
2022-03-06,TX-400,74,Supplier E,11,0.057,1156,CA,4.1,0.79
2022-11-17,TX-500,478,Supplier D,5,0.066,1831,CA,5.14,0.0
2023-09-25,TX-200,269,Supplier C,25,0.006,3542,IL,2.0,0.34
2023-09-16,TX-300,324,Supplier E,26,0.062,1769,IL,2.69,0.93
2023-10-03,TX-300,184,Supplier C,28,0.091,4176,FL,2.09,0.76
2023-06-08,TX-400,491,Supplier D,12,0.045,4127,FL,5.53,0.4
2020-07-08,TX-100,282,Supplier A,15,0.011,3874,TX,1.94,0.93
2023-06-02,TX-500,115,Supplier E,13,0.009,1559,CA,5.91,0.9
2023-11-09,TX-400,129,Supplier B,6,0.028,105,CA,1.99,0.05
2023-11-01,TX-200,472,Supplier D,28,0.075,4886,IL,4.48,0.13
2023-07-30,TX-200,304,Supplier A,24,0.026,1741,NY,4.47,0.39
2021-09-24,TX-200,174,Supplier B,15,0.081,3929,NY,5.69,0.93
2021-09-19,TX-400,195,Supplier B,22,0.082,4980,IL,2.95,0.84
2022-08-30,TX-500,152,Supplier E,8,0.046,716,FL,2.99,0.05
2023-07-06,TX-300,434,Supplier C,25,0.03,985,CA,5.31,0.51
2023-10-14,TX-100,496,Supplier D,13,0.06,2170,CA,5.9,0.72
2021-12-10,TX-300,436,Supplier B,24,0.081,260,CA,1.64,0.28
2023-12-05,TX-500,432,Supplier E,29,0.006,1317,NY,4.36,0.72
2021-10-10,TX-300,326,Supplier A,29,0.095,4278,FL,2.6,0.37
2020-11-13,TX-400,431,Supplier B,23,0.065,267,NY,4.78,0.27
2023-06-02,TX-200,173,Supplier A,6,0.04,4012,FL,4.98,0.39
2023-06-11,TX-500,463,Supplier D,11,0.051,2802,IL,4.93,0.95
2021-11-14,TX-500,316,Supplier E,2,0.039,2702,FL,3.46,0.91
2021-10-25,TX-300,327,Supplier A,26,0.041,4539,NY,2.21,0.91
2023-10-29,TX-400,160,Supplier C,13,0.06,4207,CA,4.13,0.92
2023-06-10,TX-300,430,Supplier A,18,0.006,3705,NY,5.05,0.18
2023-02-10,TX-300,362,Supplier A,10,0.018,1653,IL,5.6,0.9
2021-03-17,TX-500,138,Supplier E,4,0.023,549,CA,3.54,0.21
2021-07-17,TX-300,436,Supplier E,22,0.041,4769,NY,2.61,0.84
2023-07-15,TX-200,207,Supplier B,12,0.037,4127,CA,2.03,0.54
2023-11-10,TX-300,265,Supplier A,27,0.072,2637,IL,5.09,0.24
2023-11-11,TX-200,433,Supplier A,9,0.026,2809,FL,3.91,0.4
2023-02-10,TX-500,350,Supplier E,6,0.006,4660,FL,4.53,0.43
2022-08-09,TX-400,85,Supplier C,16,0.006,3057,TX,2.22,0.73
2023-01-09,TX-200,136,Supplier E,15,0.001,2764,CA,1.53,0.61
2021-11-29,TX-400,167,Supplier C,7,0.004,1889,IL,5.85,0.82
2020-04-22,TX-400,377,Supplier E,16,0.086,4202,NY,5.15,0.4
2020-01-02,TX-200,497,Supplier D,12,0.07,3334,NY,3.3,0.74
2021-10-03,TX-500,231,Supplier A,29,0.1,418,TX,3.56,0.79
2020-08-07,TX-100,117,Supplier C,10,0.002,2277,NY,5.68,0.06
2022-05-04,TX-400,483,Supplier D,19,0.085,2256,IL,2.43,0.38
2023-06-02,TX-400,408,Supplier C,17,0.07,2653,IL,5.11,0.89
2021-01-19,TX-500,208,Supplier B,4,0.064,528,FL,1.58,0.7
2023-11-27,TX-500,334,Supplier B,5,0.036,4439,CA,5.44,0.42
2023-02-27,TX-300,492,Supplier A,19,0.038,2585,CA,4.15,0.18
2022-12-12,TX-500,213,Supplier D,13,0.085,4502,NY,3.65,0.1
2021-12-30,TX-400,410,Supplier D,11,0.071,1000,CA,4.68,0.23
2023-12-10,TX-200,122,Supplier B,28,0.067,1720,TX,1.8,0.24
2020-09-03,TX-100,168,Supplier A,3,0.003,3498,CA,2.38,0.37
2022-04-15,TX-300,390,Supplier B,6,0.018,848,NY,3.33,0.18
2020-07-21,TX-200,244,Supplier D,10,0.096,4972,CA,4.28,0.15
2023-04-22,TX-100,138,Supplier C,19,0.045,4389,IL,2.15,0.84
2020-05-02,TX-100,394,Supplier D,1,0.078,2511,IL,3.21,0.25
2021-02-04,TX-100,125,Supplier A,3,0.039,1127,FL,2.67,0.56
2022-02-05,TX-200,270,Supplier D,6,0.076,4344,FL,4.41,0.2
2020-10-20,TX-300,188,Supplier E,0,0.012,3232,FL,5.64,0.49
2020-10-06,TX-300,421,Supplier D,14,0.004,2941,FL,2.25,0.28
2022-06-02,TX-100,444,Supplier E,19,0.047,1240,CA,2.35,0.09
2020-07-16,TX-200,290,Supplier B,21,0.059,337,NY,4.2,0.98
2022-09-08,TX-100,203,Supplier E,23,0.032,4925,CA,3.54,0.46
2022-01-21,TX-500,102,Supplier D,7,0.072,4653,NY,4.73,0.39
2020-05-23,TX-300,191,Supplier D,28,0.05,2632,NY,2.8,0.2
2021-08-31,TX-400,369,Supplier D,24,0.093,1854,NY,3.95,0.5
2023-05-09,TX-100,443,Supplier A,4,0.008,4909,NY,3.24,0.64
2023-02-21,TX-500,80,Supplier B,13,0.007,1710,IL,2.77,0.3
2020-07-05,TX-300,272,Supplier E,17,0.091,3218,NY,4.78,0.48
2023-09-11,TX-200,341,Supplier C,2,0.067,4539,CA,5.08,0.24
2021-04-08,TX-300,315,Supplier E,1,0.067,1587,NY,2.98,0.53
2023-10-04,TX-200,331,Supplier D,24,0.003,4858,IL,4.3,0.79
2021-10-21,TX-200,325,Supplier C,21,0.094,3294,CA,2.3,0.06
2022-02-02,TX-100,430,Supplier C,15,0.077,345,TX,5.06,0.52
2022-08-12,TX-100,93,Supplier E,13,0.076,1377,CA,2.77,0.4
2021-02-06,TX-300,111,Supplier E,15,0.091,2428,IL,2.27,0.07
2023-10-01,TX-500,250,Supplier E,10,0.058,1656,IL,5.73,0.94
2020-05-26,TX-300,384,Supplier E,27,0.039,1657,FL,3.4,0.26
2023-03-17,TX-400,58,Supplier B,16,0.048,2322,TX,4.4,0.56
2022-05-13,TX-200,120,Supplier A,2,0.078,2432,NY,5.14,0.37
2021-05-03,TX-200,139,Supplier A,22,0.077,404,IL,4.59,0.27
2022-07-17,TX-100,73,Supplier E,22,0.061,3022,FL,4.04,0.53
2021-07-04,TX-500,189,Supplier A,4,0.022,892,FL,3.17,0.69
2020-12-03,TX-100,365,Supplier E,2,0.082,506,NY,5.63,0.79
2022-05-21,TX-400,389,Supplier E,28,0.065,4527,CA,2.1,0.63
2021-10-02,TX-300,425,Supplier E,14,0.022,2452,TX,5.48,0.53
2021-04-17,TX-300,127,Supplier B,22,0.048,2137,NY,4.69,0.78
2020-05-30,TX-500,263,Supplier D,4,0.1,3066,NY,4.07,0.52
2023-12-09,TX-100,65,Supplier A,21,0.033,2816,CA,2.96,0.97
2023-08-14,TX-100,78,Supplier A,2,0.012,2920,CA,2.16,0.53
2020-09-19,TX-400,465,Supplier B,5,0.002,4746,IL,3.49,0.32
2020-05-23,TX-300,424,Supplier B,22,0.018,3142,CA,5.03,0.45
2020-12-11,TX-100,340,Supplier E,13,0.019,4102,CA,4.85,0.49
2021-09-15,TX-500,92,Supplier E,23,0.086,1460,TX,4.4,0.28
2022-10-13,TX-300,401,Supplier D,1,0.016,1153,TX,5.97,0.16
2022-05-30,TX-400,424,Supplier A,17,0.086,539,TX,5.88,0.43
2020-01-02,TX-500,102,Supplier B,29,0.009,4453,NY,3.3,0.9
2022-06-15,TX-200,325,Supplier D,5,0.091,882,TX,2.37,0.26
2023-08-20,TX-400,420,Supplier A,23,0.026,2710,TX,3.59,0.36
2020-09-10,TX-500,281,Supplier D,4,0.061,1914,FL,5.3,0.76
2021-03-28,TX-100,261,Supplier D,13,0.016,333,TX,3.56,0.08
2022-11-26,TX-200,57,Supplier E,16,0.039,2173,NY,3.01,0.83
2023-03-29,TX-400,171,Supplier D,10,0.009,2531,FL,4.84,0.72
2022-10-11,TX-100,91,Supplier E,0,0.058,4588,NY,4.43,0.55
2020-01-09,TX-200,382,Supplier A,9,0.035,561,NY,5.86,0.21
2023-06-10,TX-300,282,Supplier A,8,0.085,1851,FL,3.97,0.09
2023-01-27,TX-100,119,Supplier E,19,0.018,938,FL,5.85,0.23
2022-03-26,TX-500,416,Supplier C,11,0.028,3309,FL,2.81,0.76
2020-07-26,TX-400,65,Supplier D,25,0.018,2884,FL,5.39,0.93
2023-02-28,TX-200,118,Supplier A,0,0.056,4305,NY,3.08,0.74
2021-02-07,TX-100,102,Supplier D,26,0.011,1451,FL,5.14,0.53
2020-05-31,TX-300,222,Supplier C,23,0.019,305,CA,5.67,0.95
2020-02-23,TX-400,484,Supplier D,17,0.068,1194,TX,4.3,0.83
2023-02-17,TX-400,311,Supplier C,11,0.007,4405,TX,4.78,0.66
2021-09-19,TX-100,428,Supplier B,1,0.074,284,CA,5.81,0.04
2021-08-09,TX-300,338,Supplier C,0,0.01,2892,NY,3.19,0.29
2023-12-14,TX-200,64,Supplier A,0,0.059,4594,NY,3.8,0.31
2023-12-16,TX-100,319,Supplier E,24,0.1,2829,TX,5.54,0.35
2020-04-13,TX-200,216,Supplier E,28,0.017,413,IL,4.53,0.39
2020-09-10,TX-400,112,Supplier D,0,0.026,327,CA,5.43,0.94
2023-06-04,TX-200,310,Supplier B,21,0.09,3193,CA,4.28,0.74
2023-02-09,TX-300,170,Supplier D,11,0.063,4057,TX,4.83,0.69
2021-05-24,TX-500,395,Supplier C,6,0.049,4195,FL,1.56,0.43
2020-04-08,TX-300,289,Supplier E,3,0.056,2839,IL,3.03,0.34
2020-06-01,TX-200,156,Supplier C,20,0.03,1026,NY,4.97,0.12
2022-07-02,TX-100,229,Supplier E,19,0.086,3436,NY,3.32,0.45
2022-05-27,TX-400,65,Supplier E,3,0.075,3221,NY,3.13,0.21
2020-12-03,TX-500,404,Supplier E,25,0.064,2208,NY,5.78,0.39
2022-04-01,TX-100,471,Supplier A,14,0.093,2455,CA,3.99,0.16
2023-04-01,TX-100,358,Supplier C,0,0.058,636,CA,2.37,0.34
2022-08-14,TX-300,264,Supplier D,5,0.051,4270,FL,3.63,0.04
2020-06-09,TX-200,126,Supplier B,13,0.098,1541,CA,3.83,0.01
2022-03-11,TX-300,274,Supplier D,25,0.021,3499,FL,5.95,0.87
2021-02-01,TX-200,142,Supplier C,13,0.014,3452,FL,4.73,0.64
2023-07-24,TX-300,230,Supplier B,9,0.016,3246,NY,3.84,0.59
2022-03-26,TX-100,223,Supplier D,6,0.099,708,NY,3.44,0.51
2023-11-16,TX-400,403,Supplier B,22,0.065,711,CA,5.62,0.73
2023-03-04,TX-200,403,Supplier C,23,0.031,1120,CA,4.41,0.74
2023-05-03,TX-500,268,Supplier E,22,0.025,4980,FL,3.1,0.94
2021-02-04,TX-500,192,Supplier C,21,0.006,340,TX,3.59,0.24
2021-10-01,TX-100,364,Supplier A,11,0.013,2152,NY,2.75,0.79
2022-11-22,TX-300,483,Supplier B,23,0.091,1702,IL,5.82,0.99
2021-11-18,TX-300,442,Supplier C,18,0.075,2504,TX,4.66,0.03
2021-04-04,TX-100,331,Supplier E,8,0.094,4589,NY,3.27,0.37
2022-08-12,TX-500,308,Supplier E,2,0.042,1514,NY,2.32,0.44
2021-04-14,TX-500,405,Supplier C,3,0.06,468,CA,2.3,0.82
2023-10-30,TX-300,96,Supplier D,12,0.048,2176,IL,3.65,0.01
2022-11-11,TX-200,54,Supplier C,9,0.088,1546,IL,3.6,0.6
2022-01-19,TX-400,111,Supplier E,13,0.099,108,NY,3.38,0.89
2020-02-07,TX-200,133,Supplier C,5,0.093,3616,FL,5.33,0.15
2020-08-17,TX-500,182,Supplier A,27,0.06,4529,IL,5.91,0.12
2023-10-20,TX-200,443,Supplier D,29,0.006,2377,TX,3.1,1.0
2021-07-16,TX-400,385,Supplier C,27,0.062,492,FL,2.83,0.83
2021-03-13,TX-200,112,Supplier E,7,0.01,1951,CA,4.97,0.7
2023-07-30,TX-200,330,Supplier C,18,0.014,878,NY,3.52,0.4
2020-01-27,TX-200,93,Supplier C,28,0.019,3531,NY,2.48,0.85
2020-08-13,TX-200,202,Supplier B,9,0.036,1798,TX,2.31,0.92
2023-07-24,TX-100,463,Supplier C,21,0.059,3354,TX,2.76,0.73
2022-03-08,TX-500,319,Supplier A,4,0.033,4582,CA,1.51,0.4
2020-10-10,TX-400,391,Supplier E,4,0.045,3371,CA,5.74,0.58
2022-05-28,TX-500,220,Supplier B,4,0.005,3352,IL,3.44,0.1
2022-08-17,TX-100,205,Supplier C,8,0.062,3711,FL,1.87,0.16
2021-03-28,TX-100,324,Supplier D,28,0.066,2712,NY,2.24,0.78
2022-10-16,TX-100,407,Supplier A,22,0.01,1945,IL,2.96,0.03
2022-03-26,TX-100,475,Supplier A,27,0.079,3608,CA,3.98,0.05
2021-10-20,TX-200,69,Supplier A,8,0.065,3992,TX,4.67,0.51
2021-06-30,TX-500,263,Supplier B,14,0.049,3211,IL,2.89,0.17
2023-04-30,TX-300,128,Supplier C,8,0.055,4417,TX,5.81,0.29
2022-12-08,TX-400,188,Supplier A,28,0.05,1966,FL,4.92,0.4
2020-01-17,TX-100,487,Supplier C,13,0.005,1152,TX,5.22,0.52
2023-04-10,TX-500,147,Supplier D,5,0.074,1026,NY,2.96,0.28
2023-05-28,TX-100,426,Supplier C,29,0.051,3872,FL,3.21,0.48
2020-06-06,TX-100,201,Supplier C,21,0.017,3142,TX,3.92,0.37
2021-04-21,TX-100,247,Supplier C,19,0.068,4325,IL,3.53,0.08
2022-12-05,TX-100,322,Supplier E,7,0.07,2195,NY,2.67,0.87
2023-10-28,TX-100,205,Supplier B,29,0.021,3940,NY,5.99,0.28
2021-06-01,TX-400,99,Supplier C,1,0.08,926,CA,5.32,0.61
2020-04-08,TX-500,277,Supplier A,4,0.046,3587,CA,2.57,0.57
2022-11-26,TX-100,488,Supplier E,16,0.018,4795,IL,5.52,0.2
2020-10-06,TX-100,59,Supplier C,9,0.066,869,CA,4.14,0.03
2023-10-04,TX-100,198,Supplier E,13,0.06,4070,TX,1.56,0.86
2021-05-11,TX-100,107,Supplier B,17,0.017,556,CA,3.06,0.5
2020-10-28,TX-200,211,Supplier E,0,0.087,1172,NY,1.62,0.41
2020-06-29,TX-200,400,Supplier A,21,0.085,2875,IL,1.89,0.76
2021-08-29,TX-300,156,Supplier C,1,0.084,4730,TX,2.31,0.03
