uuid,Date,Tractor_Model,Warehouse_Location,Supplier,Demand_Units,Backorder_Qty,Production_Plan_Qty,Inflation_Rate,Market_Trend_Index,Part_SKU,Supplier_Delay_Days,Component_Failure_Rate,Inventory_Levels,Unit_Cost
2def03ea-f264-deae-099f-007808cc2a40,2024-01-02,TX-200,TX,Supplier B,244,22,315,4.58,0.57,CHS-05,10,0.044,0,1441
31738dd1-870a-8934-95b5-b51eafba82fb,2024-01-02,TX-500,CA,Supplier B,287,24,364,4.58,0.57,ENG-01,14,0.062,0,4307
31738dd1-870a-8934-95b5-b51eafba82fb,2024-01-02,TX-500,CA,Supplier B,287,24,364,4.58,0.57,TRN-02,15,0.037,0,2477
31738dd1-870a-8934-95b5-b51eafba82fb,2024-01-02,TX-500,CA,Supplier B,287,24,364,4.58,0.57,HYD-03,22,0.051,0,1105
31738dd1-870a-8934-95b5-b51eafba82fb,2024-01-02,TX-500,CA,Supplier B,287,24,364,4.58,0.57,ELEC-04,13,0.055,0,791
31738dd1-870a-8934-95b5-b51eafba82fb,2024-01-02,TX-500,CA,Supplier B,287,24,364,4.58,0.57,CHS-05,8,0.024,0,1450
2e1840ba-92ae-1629-c771-93e39d7e7cdb,2024-01-03,TX-100,CA,Supplier B,230,9,288,4.58,0.0,ENG-01,19,0.087,0,4384
2e1840ba-92ae-1629-c771-93e39d7e7cdb,2024-01-03,TX-100,CA,Supplier B,230,9,288,4.58,0.0,TRN-02,21,0.051,0,2519
2e1840ba-92ae-1629-c771-93e39d7e7cdb,2024-01-03,TX-100,CA,Supplier B,230,9,288,4.58,0.0,HYD-03,13,0.021,0,1146
2e1840ba-92ae-1629-c771-93e39d7e7cdb,2024-01-03,TX-100,CA,Supplier B,230,9,288,4.58,0.0,ELEC-04,14,0.075,945,793
2e1840ba-92ae-1629-c771-93e39d7e7cdb,2024-01-03,TX-100,CA,Supplier B,230,9,288,4.58,0.0,CHS-05,22,0.033,0,1463
7803d7b7-063b-f616-c373-56d526bf3263,2024-01-03,TX-100,FL,Supplier A,186,14,242,4.58,0.0,ENG-01,16,0.079,0,4178
7803d7b7-063b-f616-c373-56d526bf3263,2024-01-03,TX-100,FL,Supplier A,186,14,242,4.58,0.0,TRN-02,7,0.068,1100,2526
7803d7b7-063b-f616-c373-56d526bf3263,2024-01-03,TX-100,FL,Supplier A,186,14,242,4.58,0.0,HYD-03,6,0.048,497,1113
7803d7b7-063b-f616-c373-56d526bf3263,2024-01-03,TX-100,FL,Supplier A,186,14,242,4.58,0.0,ELEC-04,19,0.063,481,774
7803d7b7-063b-f616-c373-56d526bf3263,2024-01-03,TX-100,FL,Supplier A,186,14,242,4.58,0.0,CHS-05,18,0.031,0,1430
0dece465-d9a0-e335-7d7e-7edb5243dc24,2024-01-03,TX-100,NY,Supplier E,182,13,231,4.58,0.0,ENG-01,6,0.09,0,4756
0dece465-d9a0-e335-7d7e-7edb5243dc24,2024-01-03,TX-100,NY,Supplier E,182,13,231,4.58,0.0,TRN-02,15,0.066,235,2778
0dece465-d9a0-e335-7d7e-7edb5243dc24,2024-01-03,TX-100,NY,Supplier E,182,13,231,4.58,0.0,HYD-03,4,0.025,403,1169
0dece465-d9a0-e335-7d7e-7edb5243dc24,2024-01-03,TX-100,NY,Supplier E,182,13,231,4.58,0.0,ELEC-04,7,0.05,0,819
0dece465-d9a0-e335-7d7e-7edb5243dc24,2024-01-03,TX-100,NY,Supplier E,182,13,231,4.58,0.0,CHS-05,6,0.026,128,1504
e2f84627-f1c1-b785-3df6-eb5cec46e6f6,2024-01-03,TX-300,FL,Supplier A,232,12,290,4.58,0.0,ENG-01,6,0.076,0,4273
e2f84627-f1c1-b785-3df6-eb5cec46e6f6,2024-01-03,TX-300,FL,Supplier A,232,12,290,4.58,0.0,TRN-02,18,0.068,0,2510
e2f84627-f1c1-b785-3df6-eb5cec46e6f6,2024-01-03,TX-300,FL,Supplier A,232,12,290,4.58,0.0,HYD-03,9,0.022,0,1089
e2f84627-f1c1-b785-3df6-eb5cec46e6f6,2024-01-03,TX-300,FL,Supplier A,232,12,290,4.58,0.0,ELEC-04,17,0.064,0,787
e2f84627-f1c1-b785-3df6-eb5cec46e6f6,2024-01-03,TX-300,FL,Supplier A,232,12,290,4.58,0.0,CHS-05,20,0.03,1195,1364
5b495ff2-fb1e-5ccf-f218-d016c6f97a69,2024-01-03,TX-300,IL,Supplier D,217,12,272,4.58,0.0,ENG-01,14,0.076,0,4307
5b495ff2-fb1e-5ccf-f218-d016c6f97a69,2024-01-03,TX-300,IL,Supplier D,217,12,272,4.58,0.0,TRN-02,17,0.052,137,2499
5b495ff2-fb1e-5ccf-f218-d016c6f97a69,2024-01-03,TX-300,IL,Supplier D,217,12,272,4.58,0.0,HYD-03,15,0.026,0,1039
5b495ff2-fb1e-5ccf-f218-d016c6f97a69,2024-01-03,TX-300,IL,Supplier D,217,12,272,4.58,0.0,ELEC-04,13,0.043,1077,775
5b495ff2-fb1e-5ccf-f218-d016c6f97a69,2024-01-03,TX-300,IL,Supplier D,217,12,272,4.58,0.0,CHS-05,20,0.035,0,1355
5ea5a38a-697a-a25c-605b-e08bbd7c4220,2024-01-03,TX-300,TX,Supplier D,206,22,274,4.58,0.0,ENG-01,13,0.086,716,4252
5ea5a38a-697a-a25c-605b-e08bbd7c4220,2024-01-03,TX-300,TX,Supplier D,206,22,274,4.58,0.0,TRN-02,24,0.064,581,2421
5ea5a38a-697a-a25c-605b-e08bbd7c4220,2024-01-03,TX-300,TX,Supplier D,206,22,274,4.58,0.0,HYD-03,22,0.049,424,1037
5ea5a38a-697a-a25c-605b-e08bbd7c4220,2024-01-03,TX-300,TX,Supplier D,206,22,274,4.58,0.0,ELEC-04,12,0.049,0,793
5ea5a38a-697a-a25c-605b-e08bbd7c4220,2024-01-03,TX-300,TX,Supplier D,206,22,274,4.58,0.0,CHS-05,13,0.039,0,1309
acc24416-9068-4070-c2ec-0b34a3186071,2024-01-03,TX-500,FL,Supplier A,229,24,299,4.58,0.0,ENG-01,12,0.054,0,4363
acc24416-9068-4070-c2ec-0b34a3186071,2024-01-03,TX-500,FL,Supplier A,229,24,299,4.58,0.0,TRN-02,7,0.068,0,2700
acc24416-9068-4070-c2ec-0b34a3186071,2024-01-03,TX-500,FL,Supplier A,229,24,299,4.58,0.0,HYD-03,16,0.025,0,1076
acc24416-9068-4070-c2ec-0b34a3186071,2024-01-03,TX-500,FL,Supplier A,229,24,299,4.58,0.0,ELEC-04,16,0.047,0,793
acc24416-9068-4070-c2ec-0b34a3186071,2024-01-03,TX-500,FL,Supplier A,229,24,299,4.58,0.0,CHS-05,12,0.036,446,1438
938d9592-53df-53ae-a69a-fa1ddf9f8601,2024-01-04,TX-100,CA,Supplier B,217,10,271,4.58,0.47,ENG-01,13,0.057,0,4527
938d9592-53df-53ae-a69a-fa1ddf9f8601,2024-01-04,TX-100,CA,Supplier B,217,10,271,4.58,0.47,TRN-02,13,0.06,0,2639
938d9592-53df-53ae-a69a-fa1ddf9f8601,2024-01-04,TX-100,CA,Supplier B,217,10,271,4.58,0.47,HYD-03,9,0.021,0,1108
938d9592-53df-53ae-a69a-fa1ddf9f8601,2024-01-04,TX-100,CA,Supplier B,217,10,271,4.58,0.47,ELEC-04,21,0.067,718,821
938d9592-53df-53ae-a69a-fa1ddf9f8601,2024-01-04,TX-100,CA,Supplier B,217,10,271,4.58,0.47,CHS-05,12,0.03,0,1389
e7f7db41-4133-f086-0d0d-4a03d31ec591,2024-01-04,TX-100,IL,Supplier C,167,15,214,4.58,0.47,ENG-01,23,0.057,820,4583
e7f7db41-4133-f086-0d0d-4a03d31ec591,2024-01-04,TX-100,IL,Supplier C,167,15,214,4.58,0.47,TRN-02,21,0.063,0,2701
e7f7db41-4133-f086-0d0d-4a03d31ec591,2024-01-04,TX-100,IL,Supplier C,167,15,214,4.58,0.47,HYD-03,9,0.045,381,1148
e7f7db41-4133-f086-0d0d-4a03d31ec591,2024-01-04,TX-100,IL,Supplier C,167,15,214,4.58,0.47,ELEC-04,15,0.055,0,836
e7f7db41-4133-f086-0d0d-4a03d31ec591,2024-01-04,TX-100,IL,Supplier C,167,15,214,4.58,0.47,CHS-05,22,0.037,207,1485
acad8be4-b4b6-5c42-39be-41a91c6f4af8,2024-01-04,TX-100,TX,Supplier B,235,11,291,4.58,0.47,ENG-01,11,0.06,0,4451
acad8be4-b4b6-5c42-39be-41a91c6f4af8,2024-01-04,TX-100,TX,Supplier B,235,11,291,4.58,0.47,TRN-02,15,0.053,0,2604
acad8be4-b4b6-5c42-39be-41a91c6f4af8,2024-01-04,TX-100,TX,Supplier B,235,11,291,4.58,0.47,HYD-03,8,0.053,0,1081
acad8be4-b4b6-5c42-39be-41a91c6f4af8,2024-01-04,TX-100,TX,Supplier B,235,11,291,4.58,0.47,ELEC-04,10,0.069,69,795
acad8be4-b4b6-5c42-39be-41a91c6f4af8,2024-01-04,TX-100,TX,Supplier B,235,11,291,4.58,0.47,CHS-05,20,0.012,0,1450
059bd62b-6506-d427-0d74-e4ed23b9c2c2,2024-01-04,TX-200,CA,Supplier D,207,20,269,4.58,0.47,ENG-01,22,0.073,495,4155
059bd62b-6506-d427-0d74-e4ed23b9c2c2,2024-01-04,TX-200,CA,Supplier D,207,20,269,4.58,0.47,TRN-02,18,0.065,0,2424
059bd62b-6506-d427-0d74-e4ed23b9c2c2,2024-01-04,TX-200,CA,Supplier D,207,20,269,4.58,0.47,HYD-03,14,0.029,0,1086
059bd62b-6506-d427-0d74-e4ed23b9c2c2,2024-01-04,TX-200,CA,Supplier D,207,20,269,4.58,0.47,ELEC-04,24,0.05,0,740
059bd62b-6506-d427-0d74-e4ed23b9c2c2,2024-01-04,TX-200,CA,Supplier D,207,20,269,4.58,0.47,CHS-05,20,0.021,0,1366
5852792d-4dbe-401b-9df8-6daa6b63828f,2024-01-04,TX-200,NY,Supplier C,193,15,245,4.58,0.47,ENG-01,15,0.051,160,4500
5852792d-4dbe-401b-9df8-6daa6b63828f,2024-01-04,TX-200,NY,Supplier C,193,15,245,4.58,0.47,TRN-02,18,0.041,0,2572
5852792d-4dbe-401b-9df8-6daa6b63828f,2024-01-04,TX-200,NY,Supplier C,193,15,245,4.58,0.47,HYD-03,11,0.034,0,1154
5852792d-4dbe-401b-9df8-6daa6b63828f,2024-01-04,TX-200,NY,Supplier C,193,15,245,4.58,0.47,ELEC-04,17,0.074,987,821
5852792d-4dbe-401b-9df8-6daa6b63828f,2024-01-04,TX-200,NY,Supplier C,193,15,245,4.58,0.47,CHS-05,22,0.032,0,1491
2f142c78-5894-66c0-dae9-eb28dc742324,2024-01-04,TX-300,IL,Supplier C,186,16,237,4.58,0.47,ENG-01,22,0.052,0,4438
2f142c78-5894-66c0-dae9-eb28dc742324,2024-01-04,TX-300,IL,Supplier C,186,16,237,4.58,0.47,TRN-02,11,0.06,0,2759
2f142c78-5894-66c0-dae9-eb28dc742324,2024-01-04,TX-300,IL,Supplier C,186,16,237,4.58,0.47,HYD-03,16,0.043,0,1149
2f142c78-5894-66c0-dae9-eb28dc742324,2024-01-04,TX-300,IL,Supplier C,186,16,237,4.58,0.47,ELEC-04,12,0.051,876,835
2f142c78-5894-66c0-dae9-eb28dc742324,2024-01-04,TX-300,IL,Supplier C,186,16,237,4.58,0.47,CHS-05,23,0.013,0,1433
f31deb86-4e83-47e1-55c7-0ea07ddc0f8c,2024-01-04,TX-500,CA,Supplier B,270,14,343,4.58,0.47,ENG-01,11,0.063,0,4370
f31deb86-4e83-47e1-55c7-0ea07ddc0f8c,2024-01-04,TX-500,CA,Supplier B,270,14,343,4.58,0.47,TRN-02,12,0.055,0,2593
f31deb86-4e83-47e1-55c7-0ea07ddc0f8c,2024-01-04,TX-500,CA,Supplier B,270,14,343,4.58,0.47,HYD-03,16,0.044,0,1141
f31deb86-4e83-47e1-55c7-0ea07ddc0f8c,2024-01-04,TX-500,CA,Supplier B,270,14,343,4.58,0.47,ELEC-04,10,0.071,0,800
f31deb86-4e83-47e1-55c7-0ea07ddc0f8c,2024-01-04,TX-500,CA,Supplier B,270,14,343,4.58,0.47,CHS-05,20,0.045,0,1431
54f7451c-ee7c-01c5-fa58-de88be450ba8,2024-01-04,TX-500,IL,Supplier D,241,20,312,4.58,0.47,ENG-01,14,0.057,0,4208
54f7451c-ee7c-01c5-fa58-de88be450ba8,2024-01-04,TX-500,IL,Supplier D,241,20,312,4.58,0.47,TRN-02,12,0.067,662,2498
54f7451c-ee7c-01c5-fa58-de88be450ba8,2024-01-04,TX-500,IL,Supplier D,241,20,312,4.58,0.47,HYD-03,19,0.059,0,1055
54f7451c-ee7c-01c5-fa58-de88be450ba8,2024-01-04,TX-500,IL,Supplier D,241,20,312,4.58,0.47,ELEC-04,23,0.062,0,771
54f7451c-ee7c-01c5-fa58-de88be450ba8,2024-01-04,TX-500,IL,Supplier D,241,20,312,4.58,0.47,CHS-05,13,0.028,0,1347
b3a81149-361d-e6ac-b2d3-ae4a2818c7e6,2024-01-05,TX-100,CA,Supplier B,223,15,281,4.58,0.98,ENG-01,19,0.081,0,4584
b3a81149-361d-e6ac-b2d3-ae4a2818c7e6,2024-01-05,TX-100,CA,Supplier B,223,15,281,4.58,0.98,TRN-02,10,0.031,0,2573
b3a81149-361d-e6ac-b2d3-ae4a2818c7e6,2024-01-05,TX-100,CA,Supplier B,223,15,281,4.58,0.98,HYD-03,12,0.044,0,1093
b3a81149-361d-e6ac-b2d3-ae4a2818c7e6,2024-01-05,TX-100,CA,Supplier B,223,15,281,4.58,0.98,ELEC-04,15,0.05,475,826
b3a81149-361d-e6ac-b2d3-ae4a2818c7e6,2024-01-05,TX-100,CA,Supplier B,223,15,281,4.58,0.98,CHS-05,9,0.012,0,1408
79bf2b2f-0c85-6ef7-78b4-ac17afcdf8ba,2024-01-05,TX-100,FL,Supplier A,182,10,231,4.58,0.98,ENG-01,10,0.077,0,4235
79bf2b2f-0c85-6ef7-78b4-ac17afcdf8ba,2024-01-05,TX-100,FL,Supplier A,182,10,231,4.58,0.98,TRN-02,19,0.07,678,2361
79bf2b2f-0c85-6ef7-78b4-ac17afcdf8ba,2024-01-05,TX-100,FL,Supplier A,182,10,231,4.58,0.98,HYD-03,10,0.04,81,1103
79bf2b2f-0c85-6ef7-78b4-ac17afcdf8ba,2024-01-05,TX-100,FL,Supplier A,182,10,231,4.58,0.98,ELEC-04,11,0.051,59,766
79bf2b2f-0c85-6ef7-78b4-ac17afcdf8ba,2024-01-05,TX-100,FL,Supplier A,182,10,231,4.58,0.98,CHS-05,9,0.047,0,1430
808a572c-2b59-8f2a-479e-a06dd127be06,2024-01-05,TX-100,NY,Supplier D,171,17,224,4.58,0.98,ENG-01,22,0.073,0,4145
808a572c-2b59-8f2a-479e-a06dd127be06,2024-01-05,TX-100,NY,Supplier D,171,17,224,4.58,0.98,TRN-02,23,0.052,0,2551
808a572c-2b59-8f2a-479e-a06dd127be06,2024-01-05,TX-100,NY,Supplier D,171,17,224,4.58,0.98,HYD-03,13,0.046,50,1057
808a572c-2b59-8f2a-479e-a06dd127be06,2024-01-05,TX-100,NY,Supplier D,171,17,224,4.58,0.98,ELEC-04,24,0.064,0,750
808a572c-2b59-8f2a-479e-a06dd127be06,2024-01-05,TX-100,NY,Supplier D,171,17,224,4.58,0.98,CHS-05,16,0.032,0,1393
408b9bce-0207-6f57-ea63-340216ea0ffb,2024-01-05,TX-200,CA,Supplier E,267,14,328,4.58,0.98,ENG-01,5,0.067,204,4654
408b9bce-0207-6f57-ea63-340216ea0ffb,2024-01-05,TX-200,CA,Supplier E,267,14,328,4.58,0.98,TRN-02,12,0.037,0,2690
408b9bce-0207-6f57-ea63-340216ea0ffb,2024-01-05,TX-200,CA,Supplier E,267,14,328,4.58,0.98,HYD-03,16,0.04,0,1174
408b9bce-0207-6f57-ea63-340216ea0ffb,2024-01-05,TX-200,CA,Supplier E,267,14,328,4.58,0.98,ELEC-04,6,0.051,0,846
408b9bce-0207-6f57-ea63-340216ea0ffb,2024-01-05,TX-200,CA,Supplier E,267,14,328,4.58,0.98,CHS-05,6,0.021,0,1510
462418ed-f2c3-fca9-b65e-8f2d6eef7940,2024-01-05,TX-200,IL,Supplier E,179,8,224,4.58,0.98,ENG-01,8,0.077,0,4637
462418ed-f2c3-fca9-b65e-8f2d6eef7940,2024-01-05,TX-200,IL,Supplier E,179,8,224,4.58,0.98,TRN-02,14,0.035,0,2791
462418ed-f2c3-fca9-b65e-8f2d6eef7940,2024-01-05,TX-200,IL,Supplier E,179,8,224,4.58,0.98,HYD-03,7,0.05,0,1138
462418ed-f2c3-fca9-b65e-8f2d6eef7940,2024-01-05,TX-200,IL,Supplier E,179,8,224,4.58,0.98,ELEC-04,10,0.078,0,870
462418ed-f2c3-fca9-b65e-8f2d6eef7940,2024-01-05,TX-200,IL,Supplier E,179,8,224,4.58,0.98,CHS-05,6,0.028,0,1460
8c26cbe1-6bbe-332f-0ff1-b73751e0137a,2024-01-05,TX-500,TX,Supplier B,219,18,280,4.58,0.98,ENG-01,14,0.085,0,4559
8c26cbe1-6bbe-332f-0ff1-b73751e0137a,2024-01-05,TX-500,TX,Supplier B,219,18,280,4.58,0.98,TRN-02,17,0.03,0,2554
8c26cbe1-6bbe-332f-0ff1-b73751e0137a,2024-01-05,TX-500,TX,Supplier B,219,18,280,4.58,0.98,HYD-03,12,0.028,0,1143
8c26cbe1-6bbe-332f-0ff1-b73751e0137a,2024-01-05,TX-500,TX,Supplier B,219,18,280,4.58,0.98,ELEC-04,10,0.041,0,830
8c26cbe1-6bbe-332f-0ff1-b73751e0137a,2024-01-05,TX-500,TX,Supplier B,219,18,280,4.58,0.98,CHS-05,21,0.047,103,1409
da404228-a0d5-a902-d787-d67a3c578d89,2024-01-06,TX-100,FL,Supplier B,216,28,289,4.58,0.8,ENG-01,22,0.085,0,4560
da404228-a0d5-a902-d787-d67a3c578d89,2024-01-06,TX-100,FL,Supplier B,216,28,289,4.58,0.8,TRN-02,18,0.05,446,2490
da404228-a0d5-a902-d787-d67a3c578d89,2024-01-06,TX-100,FL,Supplier B,216,28,289,4.58,0.8,HYD-03,22,0.025,0,1115
