uuid,Part_SKU,Supplier_Delay_Days,Component_Failure_Rate,Inventory_Levels,Unit_Cost
70205e3e-512e-6e61-2a4f-5f1b89cb1dcb,ELEC-04,12,0.052,0,794
70205e3e-512e-6e61-2a4f-5f1b89cb1dcb,CHS-05,22,0.046,0,1371
165dce19-bf96-9bf0-76c2-cd0a16c3c5ad,ENG-01,9,0.071,0,4201
165dce19-bf96-9bf0-76c2-cd0a16c3c5ad,TRN-02,8,0.058,982,2569
165dce19-bf96-9bf0-76c2-cd0a16c3c5ad,HYD-03,17,0.034,518,1111
165dce19-bf96-9bf0-76c2-cd0a16c3c5ad,ELEC-04,16,0.074,1013,774
165dce19-bf96-9bf0-76c2-cd0a16c3c5ad,CHS-05,7,0.022,2133,1355
006a8da8-24bb-dff1-f2d5-8967ecafcfcc,ENG-01,13,0.071,1106,3987
006a8da8-24bb-dff1-f2d5-8967ecafcfcc,TRN-02,12,0.047,0,2590
006a8da8-24bb-dff1-f2d5-8967ecafcfcc,HYD-03,24,0.059,151,1052
006a8da8-24bb-dff1-f2d5-8967ecafcfcc,ELEC-04,19,0.058,1026,756
006a8da8-24bb-dff1-f2d5-8967ecafcfcc,CHS-05,18,0.032,37,1397
baa58bb7-3af0-24d8-dba1-b446a0034754,ENG-01,21,0.077,0,4276
baa58bb7-3af0-24d8-dba1-b446a0034754,TRN-02,18,0.034,0,2851
baa58bb7-3af0-24d8-dba1-b446a0034754,HYD-03,18,0.037,0,1125
baa58bb7-3af0-24d8-dba1-b446a0034754,ELEC-04,14,0.066,2209,872
baa58bb7-3af0-24d8-dba1-b446a0034754,CHS-05,13,0.014,683,1361
56de55eb-6a1a-d5e5-2fce-38d97343fcd4,ENG-01,16,0.087,0,4193
56de55eb-6a1a-d5e5-2fce-38d97343fcd4,TRN-02,6,0.05,0,2494
56de55eb-6a1a-d5e5-2fce-38d97343fcd4,HYD-03,7,0.022,0,1102
56de55eb-6a1a-d5e5-2fce-38d97343fcd4,ELEC-04,18,0.055,0,803
56de55eb-6a1a-d5e5-2fce-38d97343fcd4,CHS-05,12,0.02,0,1374
9925ea01-b306-e634-5c5c-bb4c4baf2c5a,ENG-01,16,0.055,1061,4359
9925ea01-b306-e634-5c5c-bb4c4baf2c5a,TRN-02,20,0.059,0,2899
9925ea01-b306-e634-5c5c-bb4c4baf2c5a,HYD-03,21,0.038,1972,1147
9925ea01-b306-e634-5c5c-bb4c4baf2c5a,ELEC-04,12,0.052,2110,858
9925ea01-b306-e634-5c5c-bb4c4baf2c5a,CHS-05,13,0.022,1522,1480
c522517f-dd9e-b014-e26a-b20eaae50bf5,ENG-01,8,0.071,0,4094
c522517f-dd9e-b014-e26a-b20eaae50bf5,TRN-02,19,0.064,444,2764
c522517f-dd9e-b014-e26a-b20eaae50bf5,HYD-03,6,0.026,0,1084
c522517f-dd9e-b014-e26a-b20eaae50bf5,ELEC-04,9,0.062,0,790
c522517f-dd9e-b014-e26a-b20eaae50bf5,CHS-05,6,0.045,123,1400
ba31da26-4fa7-4c8d-78e4-6a3b81425d5f,ENG-01,18,0.07,3004,4259
ba31da26-4fa7-4c8d-78e4-6a3b81425d5f,TRN-02,22,0.041,1452,2999
ba31da26-4fa7-4c8d-78e4-6a3b81425d5f,HYD-03,19,0.058,1778,1147
ba31da26-4fa7-4c8d-78e4-6a3b81425d5f,ELEC-04,9,0.052,1241,876
ba31da26-4fa7-4c8d-78e4-6a3b81425d5f,CHS-05,14,0.045,2023,1465
1d69032d-808c-860d-8b28-de65756800ed,ENG-01,9,0.061,0,4504
1d69032d-808c-860d-8b28-de65756800ed,TRN-02,19,0.054,0,2717
1d69032d-808c-860d-8b28-de65756800ed,HYD-03,8,0.04,0,1103
1d69032d-808c-860d-8b28-de65756800ed,ELEC-04,17,0.041,1698,785
1d69032d-808c-860d-8b28-de65756800ed,CHS-05,19,0.023,0,1390
78bcb2e6-12b8-02f5-87cf-97d59935c72f,ENG-01,16,0.082,640,4099
78bcb2e6-12b8-02f5-87cf-97d59935c72f,TRN-02,19,0.035,0,2789
78bcb2e6-12b8-02f5-87cf-97d59935c72f,HYD-03,15,0.029,527,1088
78bcb2e6-12b8-02f5-87cf-97d59935c72f,ELEC-04,12,0.044,0,803
78bcb2e6-12b8-02f5-87cf-97d59935c72f,CHS-05,8,0.039,0,1404
c286602c-a2d6-e193-5b1a-8f1910000554,ENG-01,15,0.054,82,4465
c286602c-a2d6-e193-5b1a-8f1910000554,TRN-02,16,0.049,377,3033
c286602c-a2d6-e193-5b1a-8f1910000554,HYD-03,3,0.051,488,1184
c286602c-a2d6-e193-5b1a-8f1910000554,ELEC-04,16,0.047,1907,891
c286602c-a2d6-e193-5b1a-8f1910000554,CHS-05,11,0.031,0,1462
81b1cc6e-33b0-7c7b-82f8-5c09d1cc610b,ENG-01,23,0.085,0,4350
81b1cc6e-33b0-7c7b-82f8-5c09d1cc610b,TRN-02,21,0.067,849,2944
81b1cc6e-33b0-7c7b-82f8-5c09d1cc610b,HYD-03,19,0.046,414,1138
81b1cc6e-33b0-7c7b-82f8-5c09d1cc610b,ELEC-04,17,0.07,327,835
81b1cc6e-33b0-7c7b-82f8-5c09d1cc610b,CHS-05,18,0.042,1021,1450
a502d791-e01b-a54f-6deb-cc348132013d,ENG-01,15,0.054,1886,4422
a502d791-e01b-a54f-6deb-cc348132013d,TRN-02,12,0.042,0,2830
a502d791-e01b-a54f-6deb-cc348132013d,HYD-03,3,0.045,0,1190
a502d791-e01b-a54f-6deb-cc348132013d,ELEC-04,6,0.058,406,847
a502d791-e01b-a54f-6deb-cc348132013d,CHS-05,3,0.045,0,1481
4e4a1069-3921-d561-0753-b9f3fac35bf6,ENG-01,15,0.062,1314,4445
4e4a1069-3921-d561-0753-b9f3fac35bf6,TRN-02,4,0.049,0,2851
4e4a1069-3921-d561-0753-b9f3fac35bf6,HYD-03,16,0.033,0,1221
4e4a1069-3921-d561-0753-b9f3fac35bf6,ELEC-04,12,0.078,2681,823
4e4a1069-3921-d561-0753-b9f3fac35bf6,CHS-05,5,0.022,0,1512
d3d6be39-844c-dcb4-bc85-76ff8e9933a9,ENG-01,21,0.065,477,4084
d3d6be39-844c-dcb4-bc85-76ff8e9933a9,TRN-02,9,0.049,0,2818
d3d6be39-844c-dcb4-bc85-76ff8e9933a9,HYD-03,8,0.034,605,1119
d3d6be39-844c-dcb4-bc85-76ff8e9933a9,ELEC-04,21,0.075,1544,836
d3d6be39-844c-dcb4-bc85-76ff8e9933a9,CHS-05,9,0.02,1415,1432
8eff120a-3a81-fb38-5f88-29cf42afe5dc,ENG-01,18,0.05,1101,4470
8eff120a-3a81-fb38-5f88-29cf42afe5dc,TRN-02,15,0.057,2826,2892
8eff120a-3a81-fb38-5f88-29cf42afe5dc,HYD-03,16,0.022,475,1137
8eff120a-3a81-fb38-5f88-29cf42afe5dc,ELEC-04,16,0.042,133,856
8eff120a-3a81-fb38-5f88-29cf42afe5dc,CHS-05,23,0.01,0,1441
f2912314-bf56-152d-af80-510bc31ecdd6,ENG-01,14,0.056,34,4716
f2912314-bf56-152d-af80-510bc31ecdd6,TRN-02,12,0.033,0,2770
f2912314-bf56-152d-af80-510bc31ecdd6,HYD-03,12,0.04,0,1163
f2912314-bf56-152d-af80-510bc31ecdd6,ELEC-04,9,0.054,0,846
f2912314-bf56-152d-af80-510bc31ecdd6,CHS-05,10,0.03,0,1545
c38e246a-2c39-67b8-ad79-888ad1328edc,ENG-01,25,0.07,949,4218
c38e246a-2c39-67b8-ad79-888ad1328edc,TRN-02,25,0.05,0,2683
c38e246a-2c39-67b8-ad79-888ad1328edc,HYD-03,13,0.037,1594,1074
c38e246a-2c39-67b8-ad79-888ad1328edc,ELEC-04,22,0.07,0,736
c38e246a-2c39-67b8-ad79-888ad1328edc,CHS-05,14,0.021,0,1352
59b64702-e794-8ee2-125b-8c6392c270d6,ENG-01,20,0.059,529,4169
59b64702-e794-8ee2-125b-8c6392c270d6,TRN-02,12,0.065,0,2752
59b64702-e794-8ee2-125b-8c6392c270d6,HYD-03,10,0.034,32,1098
59b64702-e794-8ee2-125b-8c6392c270d6,ELEC-04,13,0.054,3615,802
59b64702-e794-8ee2-125b-8c6392c270d6,CHS-05,13,0.032,198,1408
d293318f-75f3-7e98-2eb3-2ed71c7c1405,ENG-01,20,0.077,251,4213
d293318f-75f3-7e98-2eb3-2ed71c7c1405,TRN-02,15,0.047,0,2493
d293318f-75f3-7e98-2eb3-2ed71c7c1405,HYD-03,15,0.042,0,1063
d293318f-75f3-7e98-2eb3-2ed71c7c1405,ELEC-04,16,0.069,0,761
d293318f-75f3-7e98-2eb3-2ed71c7c1405,CHS-05,15,0.039,490,1373
af7b11b6-f90e-6790-6a46-a038f9a970ec,ENG-01,10,0.085,0,4421
af7b11b6-f90e-6790-6a46-a038f9a970ec,TRN-02,23,0.07,3493,2600
af7b11b6-f90e-6790-6a46-a038f9a970ec,HYD-03,11,0.052,2720,1138
af7b11b6-f90e-6790-6a46-a038f9a970ec,ELEC-04,15,0.076,1769,810
af7b11b6-f90e-6790-6a46-a038f9a970ec,CHS-05,21,0.032,332,1485
fe8aab98-030e-a857-eea7-1d1a027815c8,ENG-01,5,0.07,0,4591
fe8aab98-030e-a857-eea7-1d1a027815c8,TRN-02,9,0.049,0,2771
fe8aab98-030e-a857-eea7-1d1a027815c8,HYD-03,12,0.022,0,1190
fe8aab98-030e-a857-eea7-1d1a027815c8,ELEC-04,13,0.062,0,852
fe8aab98-030e-a857-eea7-1d1a027815c8,CHS-05,4,0.043,0,1418
2d311dbc-5e1c-f4d2-6c6c-eeb83a271e10,ENG-01,14,0.056,0,4315
2d311dbc-5e1c-f4d2-6c6c-eeb83a271e10,TRN-02,19,0.032,0,2643
2d311dbc-5e1c-f4d2-6c6c-eeb83a271e10,HYD-03,18,0.026,0,1130
2d311dbc-5e1c-f4d2-6c6c-eeb83a271e10,ELEC-04,18,0.075,0,799
2d311dbc-5e1c-f4d2-6c6c-eeb83a271e10,CHS-05,14,0.034,2994,1420
e37f05fc-393a-9396-fe6e-1685c0ed5673,ENG-01,14,0.061,608,4168
e37f05fc-393a-9396-fe6e-1685c0ed5673,TRN-02,10,0.052,0,2721
e37f05fc-393a-9396-fe6e-1685c0ed5673,HYD-03,12,0.03,1220,1109
e37f05fc-393a-9396-fe6e-1685c0ed5673,ELEC-04,14,0.055,391,813
e37f05fc-393a-9396-fe6e-1685c0ed5673,CHS-05,13,0.02,0,1420
0c75761a-4e78-82be-3455-19272d141407,ENG-01,9,0.075,808,4478
0c75761a-4e78-82be-3455-19272d141407,TRN-02,15,0.036,21,2767
0c75761a-4e78-82be-3455-19272d141407,HYD-03,13,0.025,0,1154
0c75761a-4e78-82be-3455-19272d141407,ELEC-04,19,0.065,224,801
0c75761a-4e78-82be-3455-19272d141407,CHS-05,14,0.024,0,1436
086b890e-5cf9-8bbb-dc53-3ea9acd8fa2e,ENG-01,18,0.061,1292,4427
086b890e-5cf9-8bbb-dc53-3ea9acd8fa2e,TRN-02,19,0.069,0,2965
086b890e-5cf9-8bbb-dc53-3ea9acd8fa2e,HYD-03,13,0.038,1052,1144
086b890e-5cf9-8bbb-dc53-3ea9acd8fa2e,ELEC-04,22,0.053,18,839
086b890e-5cf9-8bbb-dc53-3ea9acd8fa2e,CHS-05,14,0.049,0,1484
e9aed14d-b938-bf67-97d4-3ea92594f33d,ENG-01,17,0.068,0,4269
e9aed14d-b938-bf67-97d4-3ea92594f33d,TRN-02,9,0.07,0,2707
e9aed14d-b938-bf67-97d4-3ea92594f33d,HYD-03,7,0.042,0,1074
e9aed14d-b938-bf67-97d4-3ea92594f33d,ELEC-04,9,0.071,403,796
e9aed14d-b938-bf67-97d4-3ea92594f33d,CHS-05,17,0.048,0,1392
ff945f81-d638-8039-e102-e27c161d536c,ENG-01,19,0.079,283,4061
ff945f81-d638-8039-e102-e27c161d536c,TRN-02,24,0.038,0,2755
ff945f81-d638-8039-e102-e27c161d536c,HYD-03,21,0.022,644,1071
ff945f81-d638-8039-e102-e27c161d536c,ELEC-04,24,0.043,1806,840
ff945f81-d638-8039-e102-e27c161d536c,CHS-05,25,0.035,1322,1381
6fdcf618-c824-def2-752b-d4c62b24c165,ENG-01,15,0.085,0,4056
6fdcf618-c824-def2-752b-d4c62b24c165,TRN-02,11,0.041,155,2716
6fdcf618-c824-def2-752b-d4c62b24c165,HYD-03,13,0.023,0,1078
6fdcf618-c824-def2-752b-d4c62b24c165,ELEC-04,10,0.049,1554,827
6fdcf618-c824-def2-752b-d4c62b24c165,CHS-05,20,0.029,1599,1382
b2eda59f-fbc1-8a44-5537-a7a581e5fbee,ENG-01,10,0.08,1832,4437
b2eda59f-fbc1-8a44-5537-a7a581e5fbee,TRN-02,14,0.062,379,2776
b2eda59f-fbc1-8a44-5537-a7a581e5fbee,HYD-03,13,0.026,0,1185
b2eda59f-fbc1-8a44-5537-a7a581e5fbee,ELEC-04,2,0.077,29,846
b2eda59f-fbc1-8a44-5537-a7a581e5fbee,CHS-05,11,0.017,329,1508
45539228-2006-b94f-f31a-c30def6d52d8,ENG-01,10,0.083,0,4371
45539228-2006-b94f-f31a-c30def6d52d8,TRN-02,11,0.041,1284,2734
45539228-2006-b94f-f31a-c30def6d52d8,HYD-03,18,0.041,484,1106
45539228-2006-b94f-f31a-c30def6d52d8,ELEC-04,12,0.051,0,824
45539228-2006-b94f-f31a-c30def6d52d8,CHS-05,9,0.024,251,1466
1cf27ecb-b40d-af61-4eda-8dcd49758043,ENG-01,19,0.077,0,4043
1cf27ecb-b40d-af61-4eda-8dcd49758043,TRN-02,24,0.044,680,2801
1cf27ecb-b40d-af61-4eda-8dcd49758043,HYD-03,14,0.049,0,1064
1cf27ecb-b40d-af61-4eda-8dcd49758043,ELEC-04,22,0.064,337,785
1cf27ecb-b40d-af61-4eda-8dcd49758043,CHS-05,11,0.012,0,1366
bacfa05e-db88-ef4c-7e05-9f3733a70722,ENG-01,13,0.064,137,3977
bacfa05e-db88-ef4c-7e05-9f3733a70722,TRN-02,20,0.031,0,2678
bacfa05e-db88-ef4c-7e05-9f3733a70722,HYD-03,13,0.036,0,1074
bacfa05e-db88-ef4c-7e05-9f3733a70722,ELEC-04,21,0.054,0,796
bacfa05e-db88-ef4c-7e05-9f3733a70722,CHS-05,25,0.025,0,1366
a892b934-6d6b-0186-24a7-c29a7c480bee,ENG-01,10,0.071,0,4401
a892b934-6d6b-0186-24a7-c29a7c480bee,TRN-02,12,0.044,1475,2755
a892b934-6d6b-0186-24a7-c29a7c480bee,HYD-03,9,0.025,3468,1109
a892b934-6d6b-0186-24a7-c29a7c480bee,ELEC-04,18,0.052,1933,822
a892b934-6d6b-0186-24a7-c29a7c480bee,CHS-05,16,0.019,0,1427
b1f85a7f-0418-0a09-4a7e-e9367905bbe8,ENG-01,15,0.062,1260,4203
b1f85a7f-0418-0a09-4a7e-e9367905bbe8,TRN-02,14,0.034,1444,2588
b1f85a7f-0418-0a09-4a7e-e9367905bbe8,HYD-03,12,0.058,3759,1063
b1f85a7f-0418-0a09-4a7e-e9367905bbe8,ELEC-04,25,0.051,3408,771
b1f85a7f-0418-0a09-4a7e-e9367905bbe8,CHS-05,23,0.013,828,1325
757f748f-1a14-cad3-6bb7-f957910fd00a,ENG-01,17,0.067,1354,3951
757f748f-1a14-cad3-6bb7-f957910fd00a,TRN-02,11,0.043,1208,2727
757f748f-1a14-cad3-6bb7-f957910fd00a,HYD-03,11,0.056,777,1040
757f748f-1a14-cad3-6bb7-f957910fd00a,ELEC-04,12,0.047,1863,788
757f748f-1a14-cad3-6bb7-f957910fd00a,CHS-05,25,0.033,1645,1320
bcd493f9-9e5e-b377-a724-0c478187c0d4,ENG-01,24,0.086,0,4123
bcd493f9-9e5e-b377-a724-0c478187c0d4,TRN-02,16,0.061,0,2499
bcd493f9-9e5e-b377-a724-0c478187c0d4,HYD-03,14,0.038,0,1046
bcd493f9-9e5e-b377-a724-0c478187c0d4,ELEC-04,21,0.071,0,768
bcd493f9-9e5e-b377-a724-0c478187c0d4,CHS-05,12,0.04,372,1363
b2269228-e861-a011-c82d-ae921cd366ea,ENG-01,10,0.063,1362,4530
b2269228-e861-a011-c82d-ae921cd366ea,TRN-02,10,0.062,0,2882
b2269228-e861-a011-c82d-ae921cd366ea,HYD-03,8,0.049,1092,1121
b2269228-e861-a011-c82d-ae921cd366ea,ELEC-04,16,0.047,0,830
b2269228-e861-a011-c82d-ae921cd366ea,CHS-05,6,0.037,2697,1468
d05ff148-9028-9fd5-eaf7-d87c394e0c5c,ENG-01,20,0.064,0,4404
d05ff148-9028-9fd5-eaf7-d87c394e0c5c,TRN-02,15,0.059,0,2529
d05ff148-9028-9fd5-eaf7-d87c394e0c5c,HYD-03,19,0.02,0,1057
d05ff148-9028-9fd5-eaf7-d87c394e0c5c,ELEC-04,25,0.051,0,755
d05ff148-9028-9fd5-eaf7-d87c394e0c5c,CHS-05,23,0.037,0,1353
4a13f0c7-ba9c-f87f-2b6a-60cfdef32a3f,ENG-01,14,0.066,1813,4172
4a13f0c7-ba9c-f87f-2b6a-60cfdef32a3f,TRN-02,14,0.037,0,2724
4a13f0c7-ba9c-f87f-2b6a-60cfdef32a3f,HYD-03,11,0.058,1766,1072
4a13f0c7-ba9c-f87f-2b6a-60cfdef32a3f,ELEC-04,20,0.058,2306,780
4a13f0c7-ba9c-f87f-2b6a-60cfdef32a3f,CHS-05,25,0.024,463,1359
bdbd8cda-6a54-f1bd-ac12-9a1de1ffe210,ENG-01,6,0.062,0,4307
bdbd8cda-6a54-f1bd-ac12-9a1de1ffe210,TRN-02,13,0.045,236,2939
bdbd8cda-6a54-f1bd-ac12-9a1de1ffe210,HYD-03,12,0.037,0,1157
bdbd8cda-6a54-f1bd-ac12-9a1de1ffe210,ELEC-04,11,0.052,0,892
bdbd8cda-6a54-f1bd-ac12-9a1de1ffe210,CHS-05,5,0.019,458,1562
430e5406-3b9f-a8a0-a6f7-3bbc80718f60,ENG-01,9,0.079,3245,4376
430e5406-3b9f-a8a0-a6f7-3bbc80718f60,TRN-02,13,0.045,5152,2491
430e5406-3b9f-a8a0-a6f7-3bbc80718f60,HYD-03,7,0.025,5275,1118
430e5406-3b9f-a8a0-a6f7-3bbc80718f60,ELEC-04,10,0.053,6090,773
430e5406-3b9f-a8a0-a6f7-3bbc80718f60,CHS-05,20,0.037,5451,1405
3252f93e-1edd-0084-9064-46fe3197411d,ENG-01,12,0.079,0,4198
3252f93e-1edd-0084-9064-46fe3197411d,TRN-02,25,0.036,0,2568
3252f93e-1edd-0084-9064-46fe3197411d,HYD-03,22,0.052,837,1076
3252f93e-1edd-0084-9064-46fe3197411d,ELEC-04,12,0.053,0,756
3252f93e-1edd-0084-9064-46fe3197411d,CHS-05,25,0.047,547,1362
499154e9-6943-3e90-d796-971e5f93a89c,ENG-01,9,0.085,3087,4381
499154e9-6943-3e90-d796-971e5f93a89c,TRN-02,10,0.053,529,2681
499154e9-6943-3e90-d796-971e5f93a89c,HYD-03,16,0.048,1350,1110
499154e9-6943-3e90-d796-971e5f93a89c,ELEC-04,20,0.061,0,826
499154e9-6943-3e90-d796-971e5f93a89c,CHS-05,9,0.024,921,1397
f977cb30-5e55-0571-6df2-ece181f0ae5d,ENG-01,14,0.059,80,4376
f977cb30-5e55-0571-6df2-ece181f0ae5d,TRN-02,21,0.061,3276,2894
f977cb30-5e55-0571-6df2-ece181f0ae5d,HYD-03,19,0.036,1297,1106
f977cb30-5e55-0571-6df2-ece181f0ae5d,ELEC-04,19,0.058,893,866
f977cb30-5e55-0571-6df2-ece181f0ae5d,CHS-05,18,0.041,1890,1486
87247d2e-2966-b6fe-e140-c0bbff83cecf,ENG-01,7,0.087,965,4143
87247d2e-2966-b6fe-e140-c0bbff83cecf,TRN-02,20,0.032,1906,2510
87247d2e-2966-b6fe-e140-c0bbff83cecf,HYD-03,6,0.039,594,1097
87247d2e-2966-b6fe-e140-c0bbff83cecf,ELEC-04,8,0.068,0,794
87247d2e-2966-b6fe-e140-c0bbff83cecf,CHS-05,13,0.012,1085,1417
5b1ea74d-cec0-4303-d66c-9343fd7856ea,ENG-01,14,0.073,0,4247
5b1ea74d-cec0-4303-d66c-9343fd7856ea,TRN-02,9,0.033,2552,2747
5b1ea74d-cec0-4303-d66c-9343fd7856ea,HYD-03,14,0.057,0,1027
5b1ea74d-cec0-4303-d66c-9343fd7856ea,ELEC-04,15,0.042,2639,777
5b1ea74d-cec0-4303-d66c-9343fd7856ea,CHS-05,13,0.014,2014,1341
d294c13e-8a3a-6490-5956-520a885714a2,ENG-01,12,0.067,0,4537
d294c13e-8a3a-6490-5956-520a885714a2,TRN-02,5,0.033,0,3080
d294c13e-8a3a-6490-5956-520a885714a2,HYD-03,5,0.034,0,1210
d294c13e-8a3a-6490-5956-520a885714a2,ELEC-04,15,0.053,2622,851
d294c13e-8a3a-6490-5956-520a885714a2,CHS-05,7,0.047,0,1503
d472490a-ee06-e33b-aa40-a2063f637094,ENG-01,8,0.081,2930,4471
d472490a-ee06-e33b-aa40-a2063f637094,TRN-02,12,0.048,0,2765
d472490a-ee06-e33b-aa40-a2063f637094,HYD-03,11,0.041,0,1064
d472490a-ee06-e33b-aa40-a2063f637094,ELEC-04,12,0.069,679,780
d472490a-ee06-e33b-aa40-a2063f637094,CHS-05,6,0.036,0,1368
f77198e2-932a-969b-350d-34ffe762588d,ENG-01,10,0.051,2193,4382
f77198e2-932a-969b-350d-34ffe762588d,TRN-02,19,0.031,1131,2741
f77198e2-932a-969b-350d-34ffe762588d,HYD-03,9,0.046,0,1099
f77198e2-932a-969b-350d-34ffe762588d,ELEC-04,19,0.063,0,837
f77198e2-932a-969b-350d-34ffe762588d,CHS-05,16,0.034,985,1416
e7b2ee83-03b7-0916-5e2a-bef100a62f07,ENG-01,13,0.06,2750,4291
e7b2ee83-03b7-0916-5e2a-bef100a62f07,TRN-02,18,0.061,383,3025
e7b2ee83-03b7-0916-5e2a-bef100a62f07,HYD-03,20,0.052,0,1159
e7b2ee83-03b7-0916-5e2a-bef100a62f07,ELEC-04,23,0.045,0,823
e7b2ee83-03b7-0916-5e2a-bef100a62f07,CHS-05,16,0.035,858,1460
39f0bd45-9c48-850e-911d-d96c6876049a,ENG-01,10,0.081,0,4318
39f0bd45-9c48-850e-911d-d96c6876049a,TRN-02,18,0.036,249,2961
39f0bd45-9c48-850e-911d-d96c6876049a,HYD-03,11,0.033,154,1141
39f0bd45-9c48-850e-911d-d96c6876049a,ELEC-04,22,0.06,0,835
39f0bd45-9c48-850e-911d-d96c6876049a,CHS-05,9,0.024,61,1464
32d6dbf3-e886-6817-6368-538b36df66eb,ENG-01,22,0.082,2978,4303
32d6dbf3-e886-6817-6368-538b36df66eb,TRN-02,20,0.037,1970,2798
32d6dbf3-e886-6817-6368-538b36df66eb,HYD-03,10,0.044,2897,1089
32d6dbf3-e886-6817-6368-538b36df66eb,ELEC-04,15,0.04,0,815
32d6dbf3-e886-6817-6368-538b36df66eb,CHS-05,18,0.041,633,1472
87404781-3a50-85d4-bbec-647d33bb105e,ENG-01,21,0.073,0,4140
87404781-3a50-85d4-bbec-647d33bb105e,TRN-02,20,0.05,0,2495
87404781-3a50-85d4-bbec-647d33bb105e,HYD-03,11,0.04,0,1054
87404781-3a50-85d4-bbec-647d33bb105e,ELEC-04,20,0.047,0,786
87404781-3a50-85d4-bbec-647d33bb105e,CHS-05,17,0.019,0,1385
d538bbf8-1697-5ded-ead2-093a72bd21f5,ENG-01,21,0.073,96,4292
d538bbf8-1697-5ded-ead2-093a72bd21f5,TRN-02,10,0.067,0,2744
d538bbf8-1697-5ded-ead2-093a72bd21f5,HYD-03,20,0.026,725,1161
d538bbf8-1697-5ded-ead2-093a72bd21f5,ELEC-04,17,0.051,1490,825
d538bbf8-1697-5ded-ead2-093a72bd21f5,CHS-05,17,0.028,2348,1489
e9ec95df-ebf3-af0f-b87f-c68f3d9d75f0,ENG-01,3,0.073,0,4490
e9ec95df-ebf3-af0f-b87f-c68f3d9d75f0,TRN-02,12,0.038,50,3061
e9ec95df-ebf3-af0f-b87f-c68f3d9d75f0,HYD-03,14,0.031,0,1223
e9ec95df-ebf3-af0f-b87f-c68f3d9d75f0,ELEC-04,9,0.06,0,908
e9ec95df-ebf3-af0f-b87f-c68f3d9d75f0,CHS-05,12,0.049,577,1549
a3958a30-ea8d-ada0-6c8f-0e220d14ef0e,ENG-01,5,0.053,0,4632
a3958a30-ea8d-ada0-6c8f-0e220d14ef0e,TRN-02,2,0.064,1451,2770
a3958a30-ea8d-ada0-6c8f-0e220d14ef0e,HYD-03,9,0.037,246,1188
