uuid,Date,Tractor_Model,Warehouse_Location,Supplier,Demand_Units,Backorder_Qty,Production_Plan_Qty,Inflation_Rate,Market_Trend_Index
d3c9aa93-f800-6a40-63f3-dd4be801990e,2024-01-08,TX-300,NY,Supplier E,164,9,203,4.58,0.33
0d88a505-7c29-446c-7305-3e390843684b,2024-01-08,TX-400,IL,Supplier E,217,17,283,4.58,0.33
0d276011-cdf8-2708-109e-22fcb6c99feb,2024-01-08,TX-400,TX,Supplier C,216,14,274,4.58,0.33
21dc5112-00d7-3bb9-1299-45ac332eae7d,2024-01-08,TX-500,TX,Supplier B,287,26,371,4.58,0.33
160232c1-6e33-9cd2-0d63-bb077ee5a45c,2024-01-09,TX-100,FL,Supplier B,178,16,227,4.58,0.21
10587633-755e-2320-0c5e-2a65e201a909,2024-01-09,TX-200,TX,Supplier B,224,19,286,4.58,0.21
10b33095-65f2-31cc-3438-c29bc157e7df,2024-01-09,TX-300,FL,Supplier E,185,12,239,4.58,0.21
6d2f0396-ef4e-79a2-21bc-13f7160fbe1c,2024-01-09,TX-300,IL,Supplier B,180,10,229,4.58,0.21
e07ec13f-1707-1e7a-086d-c9be929eb075,2024-01-09,TX-400,FL,Supplier E,221,24,290,4.58,0.21
023a7a15-1023-8819-0d2e-432c1fe1fafa,2024-01-10,TX-100,FL,Supplier B,233,17,294,4.58,0.44
56194126-2cdc-2790-e8d9-94db85abd3d6,2024-01-10,TX-100,NY,Supplier E,205,9,252,4.58,0.44
3d6da607-1cce-0549-c51b-05ba776d1cca,2024-01-10,TX-100,TX,Supplier B,230,15,288,4.58,0.44
ad61d957-72d8-e4d7-9e35-4db96459121c,2024-01-10,TX-200,FL,Supplier C,189,13,238,4.58,0.44
243e162a-88da-9268-ef8d-ca7a8c4a043d,2024-01-10,TX-200,IL,Supplier D,191,12,242,4.58,0.44
f26680da-51f4-9b18-032c-f1da722a1b76,2024-01-10,TX-300,CA,Supplier C,248,23,318,4.58,0.44
ad3be942-6a04-b282-db00-ec04e0688230,2024-01-10,TX-300,NY,Supplier E,209,19,271,4.58,0.44
9d262074-d225-2849-90e2-20b118e1f0a2,2024-01-10,TX-300,TX,Supplier E,204,10,252,4.58,0.44
9ced4864-3b8a-e6f8-5ee9-a7fa3a103c10,2024-01-10,TX-400,FL,Supplier D,253,28,336,4.58,0.44
0065ad63-827b-aada-62ee-24317ee60aa5,2024-01-10,TX-500,CA,Supplier B,242,23,313,4.58,0.44
a2870060-63bf-ee66-7e1d-0fcc1752e257,2024-01-10,TX-500,IL,Supplier A,254,12,324,4.58,0.44
60cf67c7-f7f3-9de2-8c85-e7be4b3ba3f4,2024-01-11,TX-100,CA,Supplier A,199,8,246,4.58,0.28
d05ff148-9028-9fd5-eaf7-d87c394e0c5c,2024-01-11,TX-200,CA,Supplier D,226,27,297,4.58,0.28
438034b4-0854-91aa-edec-bcab6bda45f8,2024-01-11,TX-200,FL,Supplier D,237,26,314,4.58,0.28
b4ff69a0-5025-842e-6bfa-c4f6c9790b23,2024-01-11,TX-200,TX,Supplier B,252,20,327,4.58,0.28
b12bed27-76ed-28e2-496a-1d59b0176e72,2024-01-11,TX-300,CA,Supplier D,268,23,346,4.58,0.28
2b4db414-ea8c-9113-75ec-84215b9c262f,2024-01-11,TX-300,FL,Supplier A,225,16,285,4.58,0.28
7ca6c87b-90a3-3b99-8487-b5d54aec74b5,2024-01-11,TX-300,NY,Supplier B,171,15,223,4.58,0.28
b201db71-a574-6226-5910-1457c2a69752,2024-01-11,TX-400,FL,Supplier D,205,19,267,4.58,0.28
5311d4ad-f503-7a91-d781-aa38ef3b796f,2024-01-11,TX-400,IL,Supplier D,220,18,282,4.58,0.28
56011509-5c64-d711-7663-a46de83a2219,2024-01-11,TX-400,NY,Supplier A,182,16,236,4.58,0.28
d5e6791a-ae6b-b76b-0f83-5a0037f242ae,2024-01-11,TX-400,TX,Supplier E,205,12,255,4.58,0.28
dcbd377c-44e6-5530-a720-0c0eb4269530,2024-01-11,TX-500,CA,Supplier E,258,15,323,4.58,0.28
a9355ba8-915c-8560-1bb0-ec08612e5e2d,2024-01-11,TX-500,FL,Supplier C,265,16,340,4.58,0.28
d71ae87c-f04b-cccb-d8d0-a39b925c2e5d,2024-01-12,TX-200,TX,Supplier B,239,15,300,4.58,0.87
03f47073-350b-70f2-61e4-49f7831360ee,2024-01-12,TX-300,IL,Supplier C,181,14,231,4.58,0.87
f2912314-bf56-152d-af80-510bc31ecdd6,2024-01-12,TX-300,NY,Supplier E,199,14,250,4.58,0.87
e2cab97b-f1d2-a325-8113-9e9b21193d23,2024-01-12,TX-500,CA,Supplier C,293,21,368,4.58,0.87
f7e01f1f-fcd3-f8ce-16df-37290b22fdee,2024-01-12,TX-500,IL,Supplier D,237,19,304,4.58,0.87
3957f502-2a68-fc3e-545a-43c965e08143,2024-01-13,TX-100,FL,Supplier B,188,21,248,4.58,0.21
ac3861aa-e3ba-68e1-9f73-2a8f67ead648,2024-01-13,TX-100,TX,Supplier C,192,10,240,4.58,0.21
a096548f-dc87-0f4e-c052-9612e274cddf,2024-01-13,TX-400,IL,Supplier D,213,15,271,4.58,0.21
aed7db36-3f70-79d2-c98f-2502ffbf9d4e,2024-01-13,TX-500,CA,Supplier D,260,19,337,4.58,0.21
c24285a4-1b8a-f57f-a5bc-e3a3df619e91,2024-01-13,TX-500,FL,Supplier B,262,14,327,4.58,0.21
0b1f0a9d-c486-7602-9bbe-53d59733cd27,2024-01-13,TX-500,IL,Supplier A,267,17,340,4.58,0.21
913c9312-bd7f-aa80-64b1-0cf2efa5fd05,2024-01-14,TX-100,IL,Supplier E,179,10,223,4.58,0.27
eab4927f-03da-f738-e255-409826caa3d8,2024-01-14,TX-200,FL,Supplier B,198,14,254,4.58,0.27
709a91e9-0c4b-38d8-6a34-4fd985b1db2c,2024-01-14,TX-400,FL,Supplier E,258,12,322,4.58,0.27
ed084a40-eea9-4f94-156a-a4e4d98fde3a,2024-01-14,TX-500,CA,Supplier C,267,17,335,4.58,0.27
9a9d44db-16f7-18e9-09c8-b561eea15a8f,2024-01-14,TX-500,IL,Supplier A,206,12,257,4.58,0.27
1f338ab0-ae6c-a814-0d70-668bf473b5bd,2024-01-14,TX-500,TX,Supplier E,228,14,282,4.58,0.27
c28d40bf-9dd2-262f-794c-baa73892d84d,2024-01-15,TX-100,TX,Supplier D,188,17,244,4.58,0.81
5e0fac8f-ccf4-7963-40b4-37c630ded443,2024-01-15,TX-300,CA,Supplier A,244,14,310,4.58,0.81
ece5354f-6d1a-7f3a-e145-ab503299a336,2024-01-15,TX-300,FL,Supplier A,209,14,262,4.58,0.81
d0f52e42-8711-6e65-5593-4ee5ca6b3852,2024-01-15,TX-300,IL,Supplier B,210,21,273,4.58,0.81
7fe82972-eaa4-6190-4681-242e3813e090,2024-01-15,TX-400,IL,Supplier D,225,18,287,4.58,0.81
2a584fb2-f031-67df-22f9-3bc6d63b810f,2024-01-15,TX-500,FL,Supplier E,240,24,310,4.58,0.81
5c56ab1f-de63-e0bd-5f6c-9d1ed7de3cb0,2024-01-15,TX-500,NY,Supplier D,244,12,306,4.58,0.81
166a4ce1-10f1-fee6-e134-34a7cbec2ce7,2024-01-16,TX-100,FL,Supplier B,228,13,288,4.58,0.27
ba138fc6-7292-2421-8ec8-8396ce6dee4e,2024-01-16,TX-100,NY,Supplier D,207,18,269,4.58,0.27
1ea5bc35-e7fb-8e91-1f97-4a20dc4e62a4,2024-01-16,TX-200,CA,Supplier C,272,14,339,4.58,0.27
896d4c83-74f1-ce72-8f94-404ce3d5ff5a,2024-01-16,TX-200,IL,Supplier C,193,2,233,4.58,0.27
bf3e4d57-bd0b-92d9-41ab-c9b6ce242fe5,2024-01-16,TX-200,TX,Supplier C,222,17,286,4.58,0.27
fdd9a501-737e-8e63-2fb2-0d4981b103a8,2024-01-16,TX-300,FL,Supplier C,193,21,252,4.58,0.27
7670260f-f66e-90ac-d91a-4018522ae086,2024-01-16,TX-300,NY,Supplier C,204,12,258,4.58,0.27
905fb489-843f-893b-9d9b-68f842170ca8,2024-01-16,TX-300,TX,Supplier A,215,19,281,4.58,0.27
e2ce05e5-58de-9611-0c4b-0933b144627c,2024-01-16,TX-400,TX,Supplier B,246,25,319,4.58,0.27
bd53614a-588d-d2ce-4442-59ca0901904f,2024-01-16,TX-500,IL,Supplier B,237,20,303,4.58,0.27
5d7dad36-dfda-ebc3-5ffa-c54e1751f8ad,2024-01-17,TX-100,CA,Supplier A,210,13,266,4.58,0.27
7b3b5ad9-5cf3-0330-a1ec-9a1dc86eac1e,2024-01-17,TX-100,TX,Supplier A,187,17,244,4.58,0.27
add51557-dd9e-d929-b6aa-f82d4e73fd7d,2024-01-17,TX-200,CA,Supplier C,264,21,342,4.58,0.27
10f888f1-571e-f93e-aeb3-5b598cc96a4f,2024-01-17,TX-200,NY,Supplier E,219,12,276,4.58,0.27
984b9d7d-2e00-a6f9-ccb1-b5215c703039,2024-01-17,TX-400,IL,Supplier D,247,23,315,4.58,0.27
b4a0e128-bbdf-d1f3-9ece-38a1bda1b3bf,2024-01-17,TX-400,NY,Supplier A,216,19,282,4.58,0.27
777a2929-c53e-6558-2a23-acc50e66df56,2024-01-17,TX-500,FL,Supplier C,232,21,299,4.58,0.27
d4b5d45d-6efa-52a7-e743-662a31f0092f,2024-01-17,TX-500,IL,Supplier B,230,17,292,4.58,0.27
92d8d5dc-c1ae-1ae5-c42d-33e35145f3b9,2024-01-17,TX-500,TX,Supplier D,276,24,354,4.58,0.27
d5b70881-ee45-2d47-8355-7b99fc59ff27,2024-01-18,TX-200,FL,Supplier E,208,13,266,4.58,0.07
17ee532b-bc78-1d65-5a97-f29ac582f980,2024-01-18,TX-300,TX,Supplier B,212,11,264,4.58,0.07
13bc7343-5488-05dd-3ebd-d31b94263105,2024-01-18,TX-400,NY,Supplier B,221,25,290,4.58,0.07
87404781-3a50-85d4-bbec-647d33bb105e,2024-01-18,TX-500,CA,Supplier D,237,18,301,4.58,0.07
f470da03-5f1b-e194-56fe-5c182a2e2467,2024-01-18,TX-500,FL,Supplier E,270,17,344,4.58,0.07
ce9f7e12-3eec-4787-20f7-c06692fa8d6f,2024-01-18,TX-500,TX,Supplier D,245,19,309,4.58,0.07
f32fff4e-d000-97b7-531f-252cc8698645,2024-01-19,TX-100,FL,Supplier B,181,15,231,4.58,0.47
0b89ec2b-40a3-f8c7-1fc9-d1cd36bc67f7,2024-01-19,TX-100,NY,Supplier C,182,22,245,4.58,0.47
fd5912a9-b15f-340b-980c-c23712c28d9d,2024-01-19,TX-200,CA,Supplier D,263,21,337,4.58,0.47
49fae3e3-0580-60ac-f460-0308160af4c9,2024-01-19,TX-200,FL,Supplier D,221,21,286,4.58,0.47
8bcde771-642d-ad7d-c6a1-6d16e11abc8f,2024-01-20,TX-100,IL,Supplier D,188,16,241,4.58,0.26
a19a2345-1553-3c0a-44cf-e0847feb5b2f,2024-01-20,TX-100,NY,Supplier E,199,15,248,4.58,0.26
5ee3933e-dac1-280b-b234-8f15ce2d1e12,2024-01-20,TX-300,FL,Supplier B,193,12,240,4.58,0.26
daf29b79-1558-57b7-9715-411353f10583,2024-01-20,TX-300,IL,Supplier D,224,22,293,4.58,0.26
40ab903b-fdec-c779-82e0-bd8175eb5a1a,2024-01-20,TX-400,IL,Supplier D,243,21,312,4.58,0.26
553cc61d-25d5-5ec8-0edd-1b661b1429cd,2024-01-20,TX-400,TX,Supplier E,217,12,270,4.58,0.26
49410bd1-54f3-2044-1873-8dede2ff3c5e,2024-01-20,TX-500,IL,Supplier D,259,15,325,4.58,0.26
26401eb7-9174-ccbf-81c1-fc991f878518,2024-01-21,TX-200,TX,Supplier A,232,18,297,4.58,0.89
276d9976-020d-77d5-cd87-e2a684495613,2024-01-21,TX-300,NY,Supplier D,213,11,267,4.58,0.89
f9b31011-b58b-633b-aa3d-548f2bd7e83c,2024-01-21,TX-400,FL,Supplier D,210,10,262,4.58,0.89
460400b3-6973-432a-eab7-be419c98e2cb,2024-01-21,TX-400,TX,Supplier B,238,14,300,4.58,0.89
4d7ee3bf-a1e1-6b11-fbf1-364fb701ec32,2024-01-22,TX-100,NY,Supplier D,176,18,233,4.58,0.29
b55af823-9c9f-a885-6810-07843195b7d5,2024-01-22,TX-200,CA,Supplier A,221,17,282,4.58,0.29
af6e625e-71eb-da29-684f-df1cde7ed600,2024-01-22,TX-300,CA,Supplier A,272,16,342,4.58,0.29
080b22fc-559a-be5c-7bb5-92e493162ba4,2024-01-22,TX-300,FL,Supplier E,230,11,292,4.58,0.29
dc829480-d49f-b242-aa1f-b80527a15c45,2024-01-22,TX-300,TX,Supplier A,248,15,315,4.58,0.29
dd1d154d-2d1d-b677-3741-c0054a30c03d,2024-01-22,TX-400,CA,Supplier B,232,17,296,4.58,0.29
f401381e-1220-3def-330f-4cf2be69fe79,2024-01-22,TX-500,FL,Supplier E,226,12,282,4.58,0.29
b2d78c5d-fb08-3cbc-ceef-efedce26967b,2024-01-23,TX-100,CA,Supplier A,214,16,269,4.58,0.77
710b4510-2df0-e060-ba69-375057d0a60f,2024-01-23,TX-100,NY,Supplier B,167,12,211,4.58,0.77
1fd659a9-2ea9-3dac-7de5-d98db2712319,2024-01-23,TX-100,TX,Supplier C,187,8,230,4.58,0.77
54a18002-3242-6b28-cc74-795fe626dee2,2024-01-23,TX-200,CA,Supplier A,214,12,272,4.58,0.77
8464a9e8-5bb4-8427-f82a-7e7f1eeb122f,2024-01-23,TX-300,CA,Supplier E,263,15,331,4.58,0.77
c7c405ab-ef10-d452-07d0-9a2de01e5990,2024-01-23,TX-300,NY,Supplier D,212,10,262,4.58,0.77
ba99936b-e101-33b7-fe36-40527ef69460,2024-01-23,TX-400,FL,Supplier E,251,9,312,4.58,0.77
06acc026-a106-d8e8-193f-e106796af95e,2024-01-24,TX-100,FL,Supplier C,186,17,242,4.58,0.49
f0230cf1-e685-0ed0-1bfc-cdff0885ad48,2024-01-24,TX-100,IL,Supplier A,170,9,215,4.58,0.49
2dd09fd2-5807-d213-9da1-6472a850965a,2024-01-24,TX-100,NY,Supplier A,188,12,238,4.58,0.49
bd12ccee-c93e-c510-af11-b1c27a8f33f4,2024-01-24,TX-300,IL,Supplier E,207,8,257,4.58,0.49
1c69ebda-265d-e073-e765-ff9c14e4fa58,2024-01-24,TX-300,NY,Supplier A,177,11,221,4.58,0.49
2e69ab79-bee6-68b1-e99e-ab7a762e864b,2024-01-24,TX-300,TX,Supplier B,260,12,325,4.58,0.49
a5b2d803-4dcf-83ed-4ece-d894bf2c4f2b,2024-01-24,TX-400,TX,Supplier B,246,19,317,4.58,0.49
93054198-e5eb-9258-6d62-b5a8b481069a,2024-01-25,TX-100,IL,Supplier E,205,12,255,4.58,0.47
56de55eb-6a1a-d5e5-2fce-38d97343fcd4,2024-01-25,TX-100,NY,Supplier A,214,12,269,4.58,0.47
2031f76f-8203-125d-12fa-23ef4a5895e8,2024-01-25,TX-100,TX,Supplier B,215,16,270,4.58,0.47
65a4c11c-b533-298e-94e6-cc0e2a861589,2024-01-25,TX-200,IL,Supplier B,237,19,301,4.58,0.47
3a7c4b74-7d14-7f56-f4d3-56426fcb8fc5,2024-01-25,TX-200,NY,Supplier B,212,11,267,4.58,0.47
d805fb50-0442-2fe3-2d61-eccbb38246e2,2024-01-25,TX-300,IL,Supplier A,214,10,269,4.58,0.47
e8bea95c-d498-3f6a-1dc2-498b95cfce7d,2024-01-25,TX-300,NY,Supplier B,224,13,276,4.58,0.47
02590ce1-a569-7627-b1d1-13d3700ac7a0,2024-01-25,TX-300,TX,Supplier A,221,13,277,4.58,0.47
470b9d9f-db25-5037-a3a9-ac12fb0c391a,2024-01-25,TX-400,FL,Supplier C,247,14,313,4.58,0.47
a4f3cb1c-9255-127a-6984-3ee537294ccb,2024-01-25,TX-400,TX,Supplier E,273,15,344,4.58,0.47
9903455e-3b25-f64c-74ac-23137af19d63,2024-01-26,TX-100,FL,Supplier E,197,7,240,4.58,0.96
fde6fcde-5635-4ad3-a6b4-cbfc5841f038,2024-01-26,TX-200,CA,Supplier C,280,11,353,4.58,0.96
9d198f78-e744-9bb7-c2a7-db238dbb600f,2024-01-26,TX-300,CA,Supplier D,231,19,301,4.58,0.96
8b5ece57-ec94-80c7-4d4f-99d2e1c30323,2024-01-26,TX-500,NY,Supplier C,251,16,318,4.58,0.96
c24de2ac-8d81-450e-9473-64ea55bd6760,2024-01-27,TX-100,TX,Supplier B,191,11,242,4.58,0.9
748b8b81-130f-c29b-4fb6-caa12d81b208,2024-01-27,TX-200,CA,Supplier E,247,18,315,4.58,0.9
2e3c17b9-6f74-b8c4-3c8c-d9da2f28cd86,2024-01-27,TX-200,NY,Supplier E,186,10,234,4.58,0.9
bc5a69fd-c450-c5af-5ffe-3a204c9322d3,2024-01-27,TX-200,TX,Supplier D,237,20,309,4.58,0.9
6d5a839d-f2bb-e52a-2fea-0d91ed7645bc,2024-01-27,TX-400,IL,Supplier B,204,12,258,4.58,0.9
03f5230b-591e-2482-5ae5-4a99f792359e,2024-01-27,TX-400,NY,Supplier B,225,14,281,4.58,0.9
3e328341-c16f-aa59-8998-2ef94ae7a9d6,2024-01-27,TX-400,TX,Supplier A,222,22,289,4.58,0.9
e1190a5c-772d-221b-2bbf-c3f4dc4664a4,2024-01-27,TX-500,CA,Supplier B,252,11,313,4.58,0.9
22364e7b-60e8-5e25-efc8-d49eb76b5dd3,2024-01-28,TX-100,CA,Supplier E,214,13,267,4.58,0.08
79dde124-f93c-ed5b-4d13-6457e5c2b6d9,2024-01-28,TX-100,FL,Supplier B,196,12,248,4.58,0.08
c46dd2ab-6ef7-6574-a575-713b23021142,2024-01-28,TX-100,TX,Supplier A,250,15,310,4.58,0.08
e46377db-30f2-0127-931a-43e7e15dabf0,2024-01-28,TX-200,CA,Supplier C,225,24,294,4.58,0.08
7178572a-d5bc-6632-37ab-08550d552a2d,2024-01-28,TX-200,FL,Supplier C,228,20,295,4.58,0.08
fe8967a6-d286-a8f9-124d-8c0b4d42d047,2024-01-28,TX-200,NY,Supplier C,224,14,282,4.58,0.08
a0fced9e-f79d-774d-4148-bb85ce795398,2024-01-28,TX-300,CA,Supplier A,236,11,293,4.58,0.08
c8a34254-deb6-47a0-a4e4-c80285d2177c,2024-01-28,TX-300,NY,Supplier B,215,15,278,4.58,0.08
5c87826e-465d-4670-ab9d-e583ac753286,2024-01-28,TX-300,TX,Supplier A,250,24,328,4.58,0.08
9328f7e0-c594-acc8-b321-1ceb7fa20a96,2024-01-28,TX-400,NY,Supplier E,227,14,287,4.58,0.08
3bb8c27b-6448-5108-0a8e-0b7b96e3defc,2024-01-28,TX-500,TX,Supplier D,287,27,372,4.58,0.08
92b76700-149e-36ca-5697-cb8e51a6fcfa,2024-01-29,TX-100,NY,Supplier B,201,12,254,4.58,0.25
e5a6c0c6-4c50-d72f-1392-5a2712192ad1,2024-01-29,TX-100,TX,Supplier D,252,20,321,4.58,0.25
57adfe9e-717b-d47d-9575-7634ef714fd3,2024-01-29,TX-300,IL,Supplier E,182,13,229,4.58,0.25
bec13754-6716-ffe9-8e8e-7c169de53e78,2024-01-29,TX-300,NY,Supplier E,217,8,266,4.58,0.25
f17cb143-2e41-042e-7e9e-1bd32e94b573,2024-01-29,TX-400,IL,Supplier D,220,13,278,4.58,0.25
9b9f622f-631b-1764-88ff-14830a641159,2024-01-29,TX-500,IL,Supplier D,268,29,349,4.58,0.25
034c9da3-52c8-94f4-dc48-543c30970a65,2024-01-30,TX-100,IL,Supplier A,195,10,246,4.58,0.18
df37767d-f110-2c33-429c-9481de594604,2024-01-30,TX-200,NY,Supplier D,202,15,254,4.58,0.18
af7b11b6-f90e-6790-6a46-a038f9a970ec,2024-01-30,TX-300,NY,Supplier C,227,20,298,4.58,0.18
189704ac-4473-e784-d808-c43d7412d4fb,2024-01-30,TX-400,IL,Supplier C,209,11,262,4.58,0.18
f9b6541a-030a-eb9d-2017-f95f66971184,2024-01-30,TX-400,TX,Supplier D,270,27,349,4.58,0.18
a2861840-552c-ad24-02bb-2e2b19e74d94,2024-01-31,TX-200,CA,Supplier A,275,18,346,4.58,0.91
49faed95-1ae4-5873-1432-68aa4ba75112,2024-01-31,TX-200,IL,Supplier C,215,19,276,4.58,0.91
aa5a2aa2-f3ea-cf80-44ff-98e0f4ef4f59,2024-01-31,TX-400,CA,Supplier A,240,13,298,4.58,0.91
f5a17aa2-75df-db7b-58c0-2e6cc04bea49,2024-01-31,TX-400,TX,Supplier B,223,15,283,4.58,0.91
bb172458-2e18-77a5-2151-c29f757b92e3,2024-02-01,TX-100,NY,Supplier A,166,17,215,4.99,0.55
1740f4c1-674e-c369-3a2f-d7548920a3be,2024-02-01,TX-100,TX,Supplier B,193,23,253,4.99,0.55
14407c18-bcd1-42bd-ee7f-983525e07949,2024-02-01,TX-200,IL,Supplier C,225,12,281,4.99,0.55
b600bbd8-cc4b-74ee-d071-886fb880031c,2024-02-01,TX-400,CA,Supplier A,270,21,341,4.99,0.55
